"id","lyrics"
"SOCIWDW12A8C13D406","Darling, I don't know much
But I know I love you so much
My life depends on your touch

And my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide
And it can't be denied
My love is a river running soul deep

I'll work myself to death for you
Just to show I adore you
Nothing I wouldn't do for you

'Cause my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide
And it can't be denied
My love is a river running soul deep

All I ever, ever hope to be
Depends on your love for me
Baby, believe me
If you should leave me
I'd be nothing but an empty shell
I know darn well, I can tell, now

I don't know much
But I know I love you so much
My life depends on your touch

And my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide and it can't be denied
My love is a river running soul deep

My love is a river running soul deep
Way down inside me, it's-a soul deep
My love is a river running soul deep
Way down inside me, it's-a soul deep
Well, my love is a river running soul deep
Way down inside me, it's-a soul deep

"
"SOXVLOJ12AB0189215"
"SONHOTT12A8C13493C","Adam Ant/Marco Pirroni
Every girl is a something girl
Every girl is a something girl
Every girl is a something girl
She's got something
She's got something

Every girl is a something girl
Every girl has a somehing smile
Every girl is a something girl
For a while
For a while

If I had three wishes I know mine
I would not ask the stars to shine
I wouldn't ask for gems or pearls
I'd ask for the something girls

Every girl is a something girl
From the whites of her eyes
To the tip of a curl
Every girl sends a something boy
With that something
With that something

When this old world won't treat you right
You're not feeling yourself tonight
Think of someone you can do
Relax and let that something through
Every girl is a something girl
Every girl is a something girl
Every girl is a something girl
She's got she's got something
She's got she's got something
Every girl is a something girl
She's got, she's got something
Every girl is a something girl
She's got, she's got something
Every girl is a something girl
She's got, she's got something
Every girl is a something girl
She's got, she's got something

"
"SOFSOCN12A8C143F5D","I've just erased it's been a while, I've got a world for sale
And now I walk away from it, it's better done secret
I never mouthed those words away, I wouldn't cause concern
Die in a crossfire runaway none of this exists
Someone is killing me

Turn him away, lay over there
His limb is red, I have all clear
Settle the wave I'm on my way
Dreaming of red, memories are worst

I feel abrasive worn and tired, don't think I could win
Take me to a place I adore and then seal me in
I'm not the one I swear I'm not, no matter how I felt
Die in a crossfire runaway, face the ash again
Someone is killing me

"
"SOYMRWW12A6D4FAB14"
"SOMJBYD12A6D4F8557"
"SOHKNRJ12A6701D1F8"
"SOIAZJW12AB01853F1","There's a pink world
Comin' down
Yeah, there's a pink world
Comin' down
In a quite little village by the sea
I hear the calling and it calls for you and me
So leave your riches and your houses on the hills
Cancel all your credit cards and settle up your bills
Cause you won't need them anymore
Close down the factories
Blow up all the stores
Cause there's a pink world
Comin' down
Yeah, there's a pink world
Comin' down
Once I stood in new york city with a sign
Sayin', ""the end is comin', friends
Repent while there's still time""
I will admit that no one really seemed to hear
They would laugh and point their fingers
At my sandals and my beard
But now they'll listen when I say
I have proof, cause I read it in the supermarket today
There's a pink world
Comin' down
And it rolls like an avalanche
And it will sweep you away
Yes it rolls like an avalanche
And it will carry us away

"
"SOUDSGM12AC9618304"
"SOQHXMF12AB0182363"
"SOKEJEJ12A8C13E0D0"
"SOMUYGI12AB0188633"
"SORAMLE12AB017C8B0"
"SOBONFF12A6D4F84D8","Little darling
Where you've been so long
I've been out here thinking about you
And the feeling's real strong
Well the time has come to celebrate
